Icon_name,Icon_tags,mp4_link
Location,"maps,and,location,pin,location,placeholder",mp4/Location.mp4
Elephant,"animals,animal,zoo",mp4/Elephant.mp4
Letter b,"education,abc,alphabet,abecedary",mp4/Letter b.mp4
Dog,"animals,animal,zoo,dog",mp4/Dog.mp4
Albums,"music,and,multimedia,music,song",mp4/Albums.mp4
Menu,"food,and,restaurant,food,files,and,folders,restaurant,paper,menu",mp4/Menu.mp4
Container,"shipping,and,delivery,delivery,crane,container,lift,hook",mp4/Container.mp4
Snail,"animals,animal,insect",mp4/Snail.mp4
Orange,"food,and,restaurant,food,vegan,healthy,food,vegetarian,diet,fruit,nutrition",mp4/Orange.mp4
Voucher,"commerce,and,shopping,discount,sales,commerce",mp4/Voucher.mp4
Boarding pass,"travel,holidays,vacations,trip,journey",mp4/Boarding pass.mp4
Balloons,"celebration,birthday,and,party,party,birthday,balloons",mp4/Balloons.mp4
Teddy bear,"kid,and,baby,baby,toy",mp4/Teddy bear.mp4
Scissors,"beauty,grooming,scissors",mp4/Scissors.mp4
Wrench,"construction,and,tools,repair,work,tools,Tools,and,utensils",mp4/Wrench.mp4
Buy,"commerce,and,shopping,ecommerce",mp4/Buy.mp4
Dish,"food,and,restaurant,gastronomy,dish,italian,food",mp4/Dish.mp4
Tongue out,"smileys,emoji,emoticon,feeling,expression,tongue,out",mp4/Tongue out.mp4
Snake,"animals,animal,zoo,reptile",mp4/Snake.mp4
Pickup truck,"transportation,farming,and,gardening,vehicle",mp4/Pickup truck.mp4
Music,"music,and,multimedia,music,song,quaver",mp4/Music.mp4
File,"document,files,and,folders,file,archive",mp4/File.mp4
Hand,"hand,hands,and,gestures,gesture,animation",mp4/Hand.mp4
Bee,"animals,animal,zoo",mp4/Bee.mp4
Zoom,"orientation,arrows,direction,arrow",mp4/Zoom.mp4
Sort,"orientation,arrows,direction,arrow,transfer,swap",mp4/Sort.mp4
Defense,gaming,mp4/Defense.mp4
Letter h,"education,abc,alphabet,abecedary",mp4/Letter h.mp4
Discount,"business,and,finance,discount,statistics,chart,commerce,percentage,graphic,growth",mp4/Discount.mp4
Video projector,"electronics,technology,image,multimedia,device",mp4/Video projector.mp4
Usb,"electronics,security,technology,protection,shield,storage,multimedia",mp4/Usb.mp4
Popcorn,"food,and,restaurant,food,snack",mp4/Popcorn.mp4
Loop,"orientation,arrows,direction,arrow",mp4/Loop.mp4
Angry,"smileys,emoji,emoticon,feeling,expression,angry",mp4/Angry.mp4
Hen,"animals,animal,farm",mp4/Hen.mp4
Shield,"security,protection,shield,secure,safe",mp4/Shield.mp4
Water tower,"farming,and,gardening,farm,storage",mp4/Water tower.mp4
Shooting star,"miscellaneous,astronomy",mp4/Shooting star.mp4
Tablet,"electronics,tablet,pencil",mp4/Tablet.mp4
Whirlwind,"weather,wind",mp4/Whirlwind.mp4
Whack a mole,"entertainment,fun,fairground,amusement,park",mp4/Whack a mole.mp4
Umbrella,"weather,protection,meteorology,rain,umbrella,rainy",mp4/Umbrella.mp4
Letter l,"education,abc,alphabet,abecedary",mp4/Letter l.mp4
Letter o,"education,abc,alphabet,abecedary",mp4/Letter o.mp4
Brick wall,"construction,and,tools",mp4/Brick wall.mp4
Three,"hand,hands,and,gestures,gesture,animation,finger",mp4/Three.mp4
Face mask,"smileys,emoji,emoticon,feeling,sick",mp4/Face mask.mp4
Soda,"food,and,restaurant,food,drink,drinks,sugar",mp4/Soda.mp4
Tv,"sports,and,competition,sport,ball,football,soccer,monitor,game",mp4/Tv.mp4
Speech bubble,"communications,message,chat,conversation,speech,bubble,talk",mp4/Speech bubble.mp4
Thermometer,"healthcare,and,medical,healthcare,medical,health,temperature,pharmacy,thermometer",mp4/Thermometer.mp4
Effervescent,"healthcare,and,medical,drink,medicine,water,tablet,glass",mp4/Effervescent.mp4
Worldwide,"maps,and,location,location,gps,worldwide",mp4/Worldwide.mp4
Magic,"entertainment,fun,fairground,amusement,park",mp4/Magic.mp4
Chicken,"food,and,restaurant,fast,food,chicken,take,away",mp4/Chicken.mp4
Brightness,ui,mp4/Brightness.mp4
Microphone,"electronics,technology,music,and,multimedia,microphone,audio",mp4/Microphone.mp4
Milk,"farming,and,gardening",mp4/Milk.mp4
Poker,"entertainment,gaming,casino,gambling,Bet",mp4/Poker.mp4
Email,"ui,message,email,dm",mp4/Email.mp4
24 hours,"time,and,date,time,clock",mp4/24 hours.mp4
Science,"education,book,literature,reading,library,studying,science",mp4/Science.mp4
Truck,"transportation,transport,vechicle,truck",mp4/Truck.mp4
French fries,"food,and,restaurant,food,fast,food,restaurant,junk,food",mp4/French fries.mp4
Man,"user,avatar,people,man",mp4/Man.mp4
Letter p,"education,abc,alphabet,abecedary",mp4/Letter p.mp4
Corn,"farming,and,gardening,agriculture,field,cereal",mp4/Corn.mp4
Hospital,"healthcare,and,medical,architecture,and,city,buildings,urban,health,hospital,clinic",mp4/Hospital.mp4
Deadlift,"sports,and,competition,sport,gym,exercise",mp4/Deadlift.mp4
Download,"document,files,and,folders,file,sheet,download",mp4/Download.mp4
Middle finger,"hand,hands,and,gestures,gesture,animation",mp4/Middle finger.mp4
Weight,"box,shipping,and,delivery,package,weight,scale,parcel,container",mp4/Weight.mp4
Minimize,"orientation,arrows,direction,arrow",mp4/Minimize.mp4
Gas mask,"security,protection,safety",mp4/Gas mask.mp4
Expand,"orientation,arrows,direction,arrow",mp4/Expand.mp4
Suitcase id,"commerce,and,shopping,label,tag,identification",mp4/Suitcase id.mp4
Bridge,"architecture,and,city,construction,architecture",mp4/Bridge.mp4
Cat,"animals,avatar,animal,pet,cat",mp4/Cat.mp4
Cell division,"education,science,laboratory,lab",mp4/Cell division.mp4
Boxing,"sports,and,competition,sport",mp4/Boxing.mp4
Street,"maps,and,location,gps,map",mp4/Street.mp4
Geolocation,"maps,and,location,gps,geography",mp4/Geolocation.mp4
Angry,"smileys,emoji,emoticon,feeling,expression,angry",mp4/Angry.mp4
Devil,"smileys,emoji,emoticon,feeling",mp4/Devil.mp4
Pig,"animals,animal,farm",mp4/Pig.mp4
Lion,"animals,animal,zoo",mp4/Lion.mp4
Postcard,"communications,mail",mp4/Postcard.mp4
Football Player,"sports,and,competition,sport,ball,team",mp4/Football Player.mp4
Fingerprint,"security,ui,identification",mp4/Fingerprint.mp4
Bored,"smileys,emoji,emoticon,feeling,expression",mp4/Bored.mp4
Chevron,"orientation,arrows,direction,arrow",mp4/Chevron.mp4
Baby stroller,"kid,and,baby,parenthood,motherhood",mp4/Baby stroller.mp4
Letter b,"education,abc,alphabet,abecedary",mp4/Letter b.mp4
Toolbox,"construction,and,tools",mp4/Toolbox.mp4
Email,"ui,message,email,dm",mp4/Email.mp4
Compass,"orientation,direction,travel,maps,and,location,location",mp4/Compass.mp4
Responsive design,"interface,seo,and,web,responsive,browser,website,web,design,responsive,design",mp4/Responsive design.mp4
Rugby,"sports,and,competition,sport",mp4/Rugby.mp4
Navigation,"orientation,maps,and,location,location,gps,navigation",mp4/Navigation.mp4
Sweat,"smileys,emoji,emoticon,feeling,expression,smile",mp4/Sweat.mp4
Wolf,"animals,animal,zoo",mp4/Wolf.mp4
Chevron,"orientation,arrows,direction,arrow",mp4/Chevron.mp4
Letter d,"education,abc,alphabet,abecedary",mp4/Letter d.mp4
Sprinkler,"farming,and,gardening",mp4/Sprinkler.mp4
Magnet,"tool,construction,and,tools,industry,construction",mp4/Magnet.mp4
Growth,"education,book,literature,reading,library,studying,biology,growth",mp4/Growth.mp4
Sandwich,"food,and,restaurant,food,meal,fast,food,snack,junk,food,bread",mp4/Sandwich.mp4
Shield,"security,protection,shield,safety,cross",mp4/Shield.mp4
Man,"user,avatar,people,man",mp4/Man.mp4
Piano,"music,and,multimedia,music",mp4/Piano.mp4
Production,"farming,and,gardening,box,agriculture,harvest",mp4/Production.mp4
Excavator,"construction,and,tools,crane,machinery,hook",mp4/Excavator.mp4
Law,"education,book,literature,reading,library,studying",mp4/Law.mp4
Robot,"electronics,technology,robot",mp4/Robot.mp4
Newspaper,communications,mp4/Newspaper.mp4
Copy,"document,files,and,folders,file,sheet,paper",mp4/Copy.mp4
Good luck,"hand,hands,and,gestures,gesture,animation,finger",mp4/Good luck.mp4
Toaster,"food,and,restaurant,electronics,cooking,bread,breakfast,toast",mp4/Toaster.mp4
Temperature,"weather,temperature,thermometer,degree",mp4/Temperature.mp4
Celsius,"weather,temperature,degree",mp4/Celsius.mp4
Helicopter,"transportation,transport,vehicle,automobile",mp4/Helicopter.mp4
Letter g,"education,abc,alphabet,abecedary",mp4/Letter g.mp4
Sowing seeds,"farming,and,gardening,robot,agriculture,machinery",mp4/Sowing seeds.mp4
Goal,"sports,and,competition,sport,ball,football,soccer,team,goal",mp4/Goal.mp4
Voltmeter,"electronics,construction,and,tools,industry,energy",mp4/Voltmeter.mp4
Break,"hand,hands,and,gestures,gesture,animation",mp4/Break.mp4
Slow cooker,"food,and,restaurant,kitchenware,kitchen,tool,pot",mp4/Slow cooker.mp4
Windy,"weather,signaling,windy",mp4/Windy.mp4
Sad,"smileys,emoji,emoticon,feeling,expression,sad,sadness",mp4/Sad.mp4
Parrot,"animals,animal,zoo,bird",mp4/Parrot.mp4
Whale,"animals,animal,zoo",mp4/Whale.mp4
Bubble tea,"food,and,restaurant,drink",mp4/Bubble tea.mp4
Handcuffs,"miscellaneous,security",mp4/Handcuffs.mp4
Barrier,"security,signaling,limit,barrier",mp4/Barrier.mp4
Stairs,"orientation,arrows,direction,arrow",mp4/Stairs.mp4
Money,"business,and,finance,business,money,currency,cash,banking",mp4/Money.mp4
Letter c,"education,abc,alphabet,abecedary",mp4/Letter c.mp4
Beer,"food,and,restaurant,drink,box,alcohol,bottle,alcoholic,beer",mp4/Beer.mp4
Shredder,"electronics,document,paper,office",mp4/Shredder.mp4
Pipette,"healthcare,and,medical,laboratory,health",mp4/Pipette.mp4
Cricket,"sports,and,competition,sport,bat",mp4/Cricket.mp4
File,"security,file,check,lock,password",mp4/File.mp4
Grimace,"smileys,emoji,emoticon,expression",mp4/Grimace.mp4
Shy,"smileys,emoji,emoticon,feeling,expression",mp4/Shy.mp4
Duck,"animals,animal,farm",mp4/Duck.mp4
Big truck,"transportation,transport,vechicle",mp4/Big truck.mp4
hammer,"tool,construction,and,tools,utensils,work,tools",mp4/hammer.mp4
Helmet,"security,construction,and,tools,construction,safe,equipment,helmet,Tools,and,utensils",mp4/Helmet.mp4
Book,"education,book,literature,reading,library,studying,bookmark",mp4/Book.mp4
Chicken,"animals,animal,farm,chicken",mp4/Chicken.mp4
Shuffle,"orientation,arrows,direction,arrow",mp4/Shuffle.mp4
Rabbit,"animals,animal,pet,rabbit,Rodent",mp4/Rabbit.mp4
Hourglass,"time,and,date,time,timer,hourglass",mp4/Hourglass.mp4
Slow,"electronics,technology,computer,laptop",mp4/Slow.mp4
Searching,"miscellaneous,astronomy,space,galaxy",mp4/Searching.mp4
Autumn tree,"nature,botanical,garden",mp4/Autumn tree.mp4
Road,"maps,and,location,pin,location,placeholder,road,route",mp4/Road.mp4
Smile,"smileys,emoji,emoticon,feeling,happy,smile",mp4/Smile.mp4
Angel,"smileys,emoji,emoticon,feeling",mp4/Angel.mp4
Myanmar,"user,avatar,people,woman",mp4/Myanmar.mp4
Boat,"transportation,transport,boat,navigation",mp4/Boat.mp4
Translate,"orientation,arrows,direction,arrow",mp4/Translate.mp4
Perfume,"beauty,grooming",mp4/Perfume.mp4
Airport,"architecture,and,city,buildings,travel,urban,airport,plane",mp4/Airport.mp4
Responsive,"electronics,interface,design,smartphone,computer,responsive,monitor,web,settings,web,design,mobile",mp4/Responsive.mp4
Whistle,"sports,and,competition",mp4/Whistle.mp4
Mouse,"animals,animal,zoo,Rodent",mp4/Mouse.mp4
Ice cream,"food,and,restaurant,food,nutrition,sweet,dessert,ice,cream",mp4/Ice cream.mp4
Move,"orientation,arrows,direction,arrow",mp4/Move.mp4
Apple pie,"food,and,restaurant,dessert,bakery",mp4/Apple pie.mp4
Barcode scanner,"electronics,technology",mp4/Barcode scanner.mp4
Conveyor,"travel,baggage,luggage,suitcase",mp4/Conveyor.mp4
Diary,"kid,and,baby,notebook,agenda",mp4/Diary.mp4
Coin toss,"hands,and,gestures",mp4/Coin toss.mp4
Zoom in,"ui,magnifying,glass,loupe",mp4/Zoom in.mp4
Sick,"smileys,emoji,emoticon,feeling,sick",mp4/Sick.mp4
Garbage truck,"transportation,transport,vehicle,automobile",mp4/Garbage truck.mp4
Global security,"security,protection,secure,insurance",mp4/Global security.mp4
Footprint,"kid,and,baby",mp4/Footprint.mp4
Cake,"food,and,restaurant,sweet,dessert,bakery,cake",mp4/Cake.mp4
Speech bubble,"communications,message,chat,conversation,speech,bubble,talk",mp4/Speech bubble.mp4
Laptop,"electronics,technology,smartphone,screen,responsive,laptop,mobile,phone,tablet,mobile",mp4/Laptop.mp4
Greed,"smileys,emoji,emoticon,feeling,expression,dollar,tongue,out",mp4/Greed.mp4
Cynical,"smileys,emoji,emoticon,feeling,expression",mp4/Cynical.mp4
Goat,"animals,animal,farm",mp4/Goat.mp4
Fortune wheel,"entertainment,fun,fairground,amusement,park",mp4/Fortune wheel.mp4
Woman,"user,avatar,people,woman",mp4/Woman.mp4
Woman,"user,avatar,people,woman",mp4/Woman.mp4
Camper,"transport,travel,vechicle,holidays",mp4/Camper.mp4
Drum,"music,and,multimedia,music,percussion,instrument,orchestra",mp4/Drum.mp4
Letter f,"education,abc,alphabet,abecedary",mp4/Letter f.mp4
Dump Truck,"transportation,vehicle,automobile,trash",mp4/Dump Truck.mp4
Microphone,"electronics,music,and,multimedia,communications,microphone",mp4/Microphone.mp4
Speech bubble,"communications,message,chat,conversation,speech,bubble,talk",mp4/Speech bubble.mp4
Key,"security,access,key",mp4/Key.mp4
Unlocked,"electronics,security,technology,smartphone,mobile,phone,cellphone,telephone,phone,call",mp4/Unlocked.mp4
Resize,"edit,tools,art,and,design,image,resize",mp4/Resize.mp4
Responsive,"ui,edit,tools,graphic,design,house,interface,design,responsive,resize,exchange",mp4/Responsive.mp4
Camera front,"electronics,technology,digital,photo,camera,photograph",mp4/Camera front.mp4
Voting,"miscellaneous,computer,monitor,democracy,elections,voting",mp4/Voting.mp4
Chopping board,"food,and,restaurant,kitchenware,kitchen,tool,kitchen,utensil,knife",mp4/Chopping board.mp4
School bus,"transportation,vehicle,public,transport",mp4/School bus.mp4
Flood,"nature,weather",mp4/Flood.mp4
Secret,"smileys,emoji,emoticon,feeling,expression",mp4/Secret.mp4
Van,"transportation,transport,vechicle,van",mp4/Van.mp4
Banana,"food,and,restaurant,food,vegan,healthy,food,vegetarian,diet,fruit,nutrition",mp4/Banana.mp4
Avocado,"food,and,restaurant,food,vegan,healthy,food,vegetarian,diet,fruit,nutrition",mp4/Avocado.mp4
Woman,"user,avatar,people,woman",mp4/Woman.mp4
Carrot,"food,and,restaurant,food,vegan,vegetable",mp4/Carrot.mp4
Cocktail,"food,and,restaurant,drink,alcohol,glass,cocktail,alcoholic",mp4/Cocktail.mp4
Lightbulb,"electronics,illumination,electricity,idea,lightbulb",mp4/Lightbulb.mp4
Speech bubble,"communications,message,emoji,chat,conversation,speech,bubble,talk",mp4/Speech bubble.mp4
Tag,"communications,label,tag",mp4/Tag.mp4
Houses,"architecture,and,city,buildings,urban,home,real,estate",mp4/Houses.mp4
Pill,"healthcare,and,medical,healthcare,medicine,medicament,medical,care,painkiller",mp4/Pill.mp4
Arrow,"business,and,finance,arrows,arrow,business,diagram,statistics,stats,analytics,infography",mp4/Arrow.mp4
Spider,"animals,animal,zoo,insect",mp4/Spider.mp4
Wagon,"transportation,transport,vehicle,automobile",mp4/Wagon.mp4
Ferris wheel,"entertainment,fun,fairground,amusement,park",mp4/Ferris wheel.mp4
Firewall,"security,protection,fire,flame",mp4/Firewall.mp4
Man,"user,avatar,people,man",mp4/Man.mp4
Insecticide,"farming,and,gardening,bug",mp4/Insecticide.mp4
Church,"cultures,faith,religion,sacred,belief,christian",mp4/Church.mp4
Bat,"animals,animal,halloween,scary,spooky,terror,fear,bat,halloween,party",mp4/Bat.mp4
Hydraulic breaker,"construction,and,tools,equipment,work,tools",mp4/Hydraulic breaker.mp4
Speech bubble,"communications,message,love,chat,conversation,speech,bubble,talk",mp4/Speech bubble.mp4
Phone Call,"food,and,restaurant,communications,restaurant,phone,take,away,telephone,phone,call,call,food,delivery",mp4/Phone Call.mp4
Medicine,"healthcare,and,medical,healthcare,medicine,medicament,medical,care,painkiller",mp4/Medicine.mp4
Neutral,"smileys,emoji,emoticon,feeling,expression",mp4/Neutral.mp4
Rabbit,"animals,animal,zoo,rabbit",mp4/Rabbit.mp4
Greek,"user,avatar,people,woman",mp4/Greek.mp4
Golf cart,"transportation,transport,vehicle,automobile",mp4/Golf cart.mp4
Croissant,"food,and,restaurant,dessert,bakery,bread,breakfast",mp4/Croissant.mp4
Helmet,"sports,and,competition,security,protection,sport,equipment,helmet,motorcycle",mp4/Helmet.mp4
Man,"user,avatar,people,man",mp4/Man.mp4
Purse,"business,and,finance,money",mp4/Purse.mp4
Suitcase,"business,and,finance,travel,business,briefcase,suitcase",mp4/Suitcase.mp4
Letter k,"education,abc,alphabet,abecedary",mp4/Letter k.mp4
Microscope,"education,science,laboratory,lab",mp4/Microscope.mp4
Uranus,"miscellaneous,astronomy,space,galaxy,planet",mp4/Uranus.mp4
Mail,"communications,message,mail,envelope",mp4/Mail.mp4
Cutting,"food,and,restaurant,kitchenware,kitchen,tool,cooking,kitchen,utensil,knife",mp4/Cutting.mp4
Kitchen timer,"time,and,date,time,clock",mp4/Kitchen timer.mp4
Bbq,"food,and,restaurant,barbecue,bbq",mp4/Bbq.mp4
Hailstone,"weather,meteorology,forecast,cloud",mp4/Hailstone.mp4
Turtle,"animals,animal,zoo,reptile",mp4/Turtle.mp4
Cab,"transportation,transport,vehicle,automobile,public,transport",mp4/Cab.mp4
Airplane,"transportation,transport,vechicle,airplane",mp4/Airplane.mp4
Lockers,"furniture,and,household,gym,storage,school",mp4/Lockers.mp4
Car toy,"kid,and,baby,fun,baby",mp4/Car toy.mp4
Cat house,"animals,animal,pet",mp4/Cat house.mp4
Letter v,"education,abc,alphabet,abecedary",mp4/Letter v.mp4
Letter y,"education,abc,alphabet,abecedary",mp4/Letter y.mp4
Letter s,"education,abc,alphabet,abecedary",mp4/Letter s.mp4
Farmer,"avatar,people,woman,professions,and,jobs,job",mp4/Farmer.mp4
Tickets,"entertainment,cinema",mp4/Tickets.mp4
Plaster,"healthcare,and,medical,pharmacy",mp4/Plaster.mp4
Measuring glass,"food,and,restaurant,kitchenware",mp4/Measuring glass.mp4
Medicine,"healthcare,and,medical,healthcare,medicine,medicament,medical,care,painkiller,jar",mp4/Medicine.mp4
Sd card,"security,shield,check",mp4/Sd card.mp4
Windrose,"orientation,maps,and,location",mp4/Windrose.mp4
Panda,"animals,animal,zoo",mp4/Panda.mp4
Train,"transportation,transport,public,transport,train",mp4/Train.mp4
Strawberry,"food,and,restaurant,food,vegan,healthy,food,vegetarian,diet,fruit,nutrition",mp4/Strawberry.mp4
Sausage,"food,and,restaurant,fast,food,barbecue,bbq",mp4/Sausage.mp4
Woman,"user,avatar,people,woman",mp4/Woman.mp4
Hotel,"holidays,signaling,sign,hotel,hospital",mp4/Hotel.mp4
Desert,"nature,desert",mp4/Desert.mp4
Baby monitor,"electronics,communications",mp4/Baby monitor.mp4
Letter u,"education,abc,alphabet,abecedary",mp4/Letter u.mp4
Letter w,"education,abc,alphabet,abecedary",mp4/Letter w.mp4
Pumpkin,"halloween,scary,spooky,hat,pumpkin,horror,terror,fear,halloween,party",mp4/Pumpkin.mp4
Sign,"buildings,construction,and,tools,signaling,sign,construction,danger",mp4/Sign.mp4
Speech bubble,"communications,message,chat,conversation,speech,bubble,talk,click",mp4/Speech bubble.mp4
Computer,"electronics,podcast,microphone,radio,computer",mp4/Computer.mp4
Mobile phone,"electronics,ui,smartphone,responsive,mobile,phone,responsive,design",mp4/Mobile phone.mp4
Pixel,"edit,tools,art,and,design,pencil",mp4/Pixel.mp4
Bin,"document,files,and,folders,file,sheet",mp4/Bin.mp4
Mixer,"food,and,restaurant,electronics,kitchenware,kitchen,tool,bowl,kitchen,appliance,mixer",mp4/Mixer.mp4
Inhalator,"healthcare,and,medical,pharmacy",mp4/Inhalator.mp4
British,"user,avatar,people,man",mp4/British.mp4
Pinwheel,"entertainment,childhood,toy",mp4/Pinwheel.mp4
Merge,"orientation,arrows,direction,arrow",mp4/Merge.mp4
Dimsum,"food,and,restaurant,traditional,gastronomy,chinese,food,asian,food",mp4/Dimsum.mp4
Woman,"user,avatar,people,woman",mp4/Woman.mp4
Currency,"business,and,finance,business,currency,dollar,worldwide",mp4/Currency.mp4
Pet shop,"architecture,and,city,building,store",mp4/Pet shop.mp4
Dog food,"animals,pet",mp4/Dog food.mp4
Light,"farming,and,gardening,light,agriculture,plant",mp4/Light.mp4
Tractor,"farming,and,gardening,vehicle,machinery",mp4/Tractor.mp4
hammer,"construction,and,tools,nail,Tools,and,utensils",mp4/hammer.mp4
Headphones,"electronics,audio",mp4/Headphones.mp4
Timer,"time,and,date,time,interface,timer,stopwatch,wait,chronometer,chrono",mp4/Timer.mp4
24 hours,"time,and,date,service",mp4/24 hours.mp4
Salt,"hand,hands,and,gestures,gesture,animation",mp4/Salt.mp4
Blender,"food,and,restaurant,electronics,kitchenware,kitchen,tool,kitchen,appliance",mp4/Blender.mp4
Badminton,"sports,and,competition,sport",mp4/Badminton.mp4
Tank truck,"transportation,transport,vehicle,automobile",mp4/Tank truck.mp4
Train,"transportation,transport,vechicle,train",mp4/Train.mp4
Lemon,"food,and,restaurant,food,vegan,healthy,food,vegetarian,diet,fruit,nutrition",mp4/Lemon.mp4
Move,"orientation,arrows,direction,arrow",mp4/Move.mp4
Bathtub,"kid,and,baby,hygiene",mp4/Bathtub.mp4
Cloud,"ui,music,and,multimedia,music,cloud",mp4/Cloud.mp4
Target,"education,science,laboratory,lab,biology,target",mp4/Target.mp4
Bouquet,"love,and,romance,wedding,present,gift,flower",mp4/Bouquet.mp4
Speech bubble,"communications,message,chat,conversation,speech,bubble,talk",mp4/Speech bubble.mp4
Email,"ui,message,email,dm,target",mp4/Email.mp4
Ping pong,"sports,and,competition,sport",mp4/Ping pong.mp4
Bowling,"sports,and,competition,bowling,leisure,hobby",mp4/Bowling.mp4
Tide,"nature,weather,moon",mp4/Tide.mp4
Directions,"arrows,maps,and,location",mp4/Directions.mp4
Arrow,"business,and,finance,arrow,diagram,infographic",mp4/Arrow.mp4
Castle,"architecture,and,city,monument,medieval,castle",mp4/Castle.mp4
Man,"user,avatar,people,man",mp4/Man.mp4
Parrot,"animals,animal,pet,bird,ornithology",mp4/Parrot.mp4
Aquarium,"animals,animal,fish,aquarium",mp4/Aquarium.mp4
Goal,"sports,and,competition,sport,ball,football,soccer,goal",mp4/Goal.mp4
drone,"electronics,technology,camera,photography,device",mp4/drone.mp4
Horse,"animals,animal",mp4/Horse.mp4
Pickup truck,"transportation,transport,vehicle,automobile",mp4/Pickup truck.mp4
Worldwide,"maps,and,location,location,gps,worldwide",mp4/Worldwide.mp4
Scientist,"education,avatar,man,job",mp4/Scientist.mp4
Growth,"farming,and,gardening,agriculture,growth",mp4/Growth.mp4
Bible,"cultures,faith,religion,sacred,belief,christian,catholic",mp4/Bible.mp4
Goal,"sports,and,competition,sport,ball,football,soccer,goal",mp4/Goal.mp4
Ladder,"construction,and,tools,building,construction",mp4/Ladder.mp4
Truck,"transportation,construction,and,tools,vehicle,industry,construction,truck",mp4/Truck.mp4
candle,"decoration,christmas,xmas,light,candle",mp4/candle.mp4
Responsive,"electronics,technology,computer,screen,responsive,monitor,laptop,tablet,transfer,devices",mp4/Responsive.mp4
Resize,"ui,edit,tools,art,and,design,shapes,and,symbols,resize",mp4/Resize.mp4
Marker,"education,stationery",mp4/Marker.mp4
Stove,"food,and,restaurant,kitchenware,kitchen,tool,cooking,pot",mp4/Stove.mp4
Dropper,"healthcare,and,medical,wellness,medicament",mp4/Dropper.mp4
Locker room,"furniture,and,household,storage,wardrobe,closet",mp4/Locker room.mp4
Octopus,"animals,animal,zoo",mp4/Octopus.mp4
Atm machine,"business,and,finance,technology,business,banking",mp4/Atm machine.mp4
Baby body,"fashion,kid,and,baby,clothes",mp4/Baby body.mp4
Lip balm,"beauty,cosmetics",mp4/Lip balm.mp4
Paint bucket,"design,art,and,design,art,painting",mp4/Paint bucket.mp4
Responsive,"electronics,technology,computer,screen,seo,and,web,responsive,monitor,responsive,design",mp4/Responsive.mp4
Save,"document,files,and,folders,file,sheet",mp4/Save.mp4
Receive,"hand,hands,and,gestures,gesture,animation",mp4/Receive.mp4
Billiards,"sports,and,competition,sport,gaming",mp4/Billiards.mp4
Telescope,miscellaneous,mp4/Telescope.mp4
Malware,"security,seo,and,web,bug,insect,service,malware",mp4/Malware.mp4
Sick,"smileys,emoji,emoticon,feeling,sick",mp4/Sick.mp4
Seahorse,"animals,animal,aquarium",mp4/Seahorse.mp4
Toucan,"animals,animal,zoo",mp4/Toucan.mp4
Fire truck,"transportation,transport,vehicle,automobile",mp4/Fire truck.mp4
Letter e,"education,abc,alphabet,abecedary",mp4/Letter e.mp4
Letter r,"education,abc,alphabet,abecedary",mp4/Letter r.mp4
Measuring tape,"construction,and,tools,repair,carpentry",mp4/Measuring tape.mp4
Email,"ui,message,email,dm",mp4/Email.mp4
Stopwatch,"time,and,date,time,interface,timer,stopwatch,wait,chronometer,chrono",mp4/Stopwatch.mp4
Sale,"commerce,and,shopping,discount,percentage,trolley,shopping,cart",mp4/Sale.mp4
Pinch,"hand,hands,and,gestures,gesture,animation,finger",mp4/Pinch.mp4
Pepper,"food,and,restaurant,kitchenware,kitchen,tool",mp4/Pepper.mp4
Medicine,"medicine,sign,hospital,shapes,and,symbols,pharmacy",mp4/Medicine.mp4
Spray,"healthcare,and,medical,healthcare,medicine,medical,medicament,drugs",mp4/Spray.mp4
Golf,"sports,and,competition,sport",mp4/Golf.mp4
Baseball,"sports,and,competition,sport,ball",mp4/Baseball.mp4
Tennis,"sports,and,competition,sport,ball",mp4/Tennis.mp4
Vomiting,"smileys,emoji,emoticon,feeling,sick",mp4/Vomiting.mp4
Fox,"animals,animal,zoo",mp4/Fox.mp4
Spring swing car,"entertainment,fun,fairground,amusement,park",mp4/Spring swing car.mp4
Pineapple,"food,and,restaurant,food,vegan,healthy,food,vegetarian,diet,fruit,nutrition",mp4/Pineapple.mp4
Merge,"orientation,arrows,direction,arrow",mp4/Merge.mp4
Taco,"food,and,restaurant,traditional,gastronomy",mp4/Taco.mp4
Music mixer,"electronics,technology,music,and,multimedia,sound",mp4/Music mixer.mp4
Compact disc,"music,and,multimedia,music,compact,disc,cd",mp4/Compact disc.mp4
Piano,"music,and,multimedia,orchestra",mp4/Piano.mp4
Letter j,"education,abc,alphabet,abecedary",mp4/Letter j.mp4
Yuan,"business,and,finance,money,currency,banking,coin",mp4/Yuan.mp4
Cold,"smileys,emoji,emoticon,feeling",mp4/Cold.mp4
Kiwi,"animals,animal,zoo",mp4/Kiwi.mp4
Shark,"animals,animal,zoo",mp4/Shark.mp4
Crab,"animals,animal,zoo",mp4/Crab.mp4
Swing,"entertainment,fun,playground",mp4/Swing.mp4
Blueberry,"food,and,restaurant,food,vegan,healthy,food,vegetarian,diet,fruit,nutrition",mp4/Blueberry.mp4
Ice cream,"food,and,restaurant,sweet,dessert,ice,cream",mp4/Ice cream.mp4
Sushi roll,"food,and,restaurant,fish,japanese,food,asian,food",mp4/Sushi roll.mp4
Rice,"food,and,restaurant,healthy,food,dish,chinese,food,asian,food,rice",mp4/Rice.mp4
Ocean,"nature,sea,aquarium,ocean",mp4/Ocean.mp4
